location_clean,latitude,longitude
byagadadhenahalli,,
byappanahalli,12.9896869,77.6541742
byatarayanapura,13.068322,77.591006
byrasandra,12.9295931,77.581181
byrasandra extension,,
byrathi village,,
cambridge layout,13.0076285,77.7258775
cambridge road,12.9709964,77.6278632
canara bank colony,12.9311905,77.5908939
canara bank layout,13.068572,77.5783554
carmelaram,12.9111998,77.7065133
celebrity paradise layout,12.8481732,77.6531976
chaitanya ananya,,
challaghatta,12.9451006,77.651534
chambenahalli,12.8886379,77.7662379
chamrajpet,12.9584184,77.5629161
chamundi nagar,13.0341222,77.5993048
chandapura,12.8009043,77.7114908
chandra layout,12.955333,77.5238903
channasandra,12.9873426,77.7538033
channasandra layout,13.0059276,77.6594682
chelekare,,
chellikere,,
chennammana kere,,
chennammanakere achukattu,,
chennappa layout,,
chickpet,13.0967578,77.5840299
chikbasavanapura,,
chikka banaswadi,13.0057413,77.6508239
chikka gowdanapalya,,
chikka tirupathi,12.8957681,77.8671014
chikkaballapur,13.0993764,77.388729
chikkabanavar,,
chikkabettahalli,13.0895199,77.5563736
chikkabidarakallu,13.0523616,77.4879154
chikkadunnasandra,12.8501962,77.7742942
chikkagubbi,13.0823779,77.661558
chikkajala,13.1679234,77.6372834
chikkakannalli,12.893703,77.7081315
chikkalasandra,12.9121916,77.5476337
chikkanahalli,12.9058433,77.6202731
chikkasandra,13.0963679,77.7047925
chikkathoguru,12.8638459,77.653398
chikkatirupathi,,
chikku lakshmaiah layout,12.9350706,77.6116041
chinnapanahalli,12.9708771,77.707147
chokkahalli,13.111495,77.8348071
chokkanahalli,13.0850788,77.6263539
chokkasandra,13.0405342,77.5112239
cholanayakanahalli,13.0364498,77.5975272
choodasandra,12.8883623,77.6799727
chowdeshwari layout,12.904198,77.5621046
chuchangatta colony,,
church street,12.9749142,77.6052474
ckikkakammana halli,,
classic paradise layout,,
cleveland town,12.9940417,77.6116055
cmh road,12.9782612,77.6354958
coconut garden,12.96107,77.5190659
coconut grove layout,,
coffee board layout,13.0503251,77.6060803
cooke town,13.0021998,77.6251814
cooketown,,
cottonpet,12.963891,77.5685298
cox town,12.9934859,77.6251081
cqal layout,13.107164,77.5682911
cqal layout c block,,
cr layout,12.874911,77.6107073
craig park layout,12.9713834,77.6158386
crimson layout,12.9799554,77.7109706
cubbon road,12.9770707,77.60935
cunningham road,12.9869823,77.5950068
cv raman nagar,12.9850987,77.6631174
d group employees layout,13.0987089,77.6926314
d souza layout,12.9696296,77.5968003
daadys gaarden layout,,
dairy circle,13.0995253,77.576873
dasanapura,12.7467724,77.7742876
dasappa layout,13.0828573,77.6491865
dasarahalli,13.0464819,77.5176977
deepanjali nagar,12.9520333,77.5369961
defence colony,12.976171,77.6435315
defence layout,13.0613024,77.5847273
dena bank colony,12.9600676,77.6447244
devanahalli,13.2483502,77.7134377
devanahalli int airport,,
devanahalli road,13.2008264,77.7023538
devara jeevanahalli,,
devarabeesana halli,,
devarabisanahalli,12.9234847,77.6869662
devarachikkanahalli,12.8931539,77.6219724
devasandra extension,13.0219498,77.5722288
devasthanagalu,,
devi nagar,13.0161096,77.5288243
dhanalakshmi layout,12.9724999,77.651454
dinnur,13.0268586,77.5985884
divya unnathi layout,,
doctor layout rayasandra,,
doctors layout,13.0053365,77.6581854
dodda banaswadi,13.0133522,77.6497417
dodda kempaiah layout,13.0362694,77.671033
dodda nekkundi,12.9725581,77.692858
dodda nekkundi extension,,
doddaballapur,13.2929583,77.5431463
doddabanahalli,13.0271648,77.7473867
doddabele,12.8979957,77.4770139
doddabidrakallu,,
doddabommasandra,13.0544347,77.559327
doddagubbi,13.0720681,77.6683289
doddakallasandra,12.8857355,77.5557448
doddakammanahalli,12.8509089,77.5986785
doddakannelli,12.9115381,77.6934164
doddanakundi industrial area,12.9859964,77.7128545
doddanakunte,,
doddanekundi,12.9713194,77.6964768
doddathoguru,12.8505644,77.6466948
dodsworth layout,12.9708022,77.7440554
dollar scheme colony,12.9181537,77.6195361
dollars colony,13.0413668,77.5678155
dollars layout,12.9040098,77.5955558
dominic layout,,
domlur,12.9624669,77.6381958
domlur layout,12.9644251,77.6349677
