location_clean,latitude,longitude
rachenahalli,13.0588586,77.6232576
raghavendra layout,12.8918925,77.579749
raghavendra nagar,12.8918543,77.5777361
raghuvanahalli,13.0850111,77.7600477
rahat bagh,12.9914863,77.6613684
rahmath nagar,13.0173076,77.5917019
rainbow drive,12.9062184,77.6868318
raja rajashweri nagar,,
raja rajeshwari nagar,12.932582,77.5162034
raja rajeshwari nagar th stage,,
raja rajeshwari nagara,12.932582,77.5162034
rajagopala nagar,13.0177587,77.5141436
rajaji nagar,13.0078297,77.551192
rajankunte,13.1749344,77.5646352
rajanna layout,12.930774,77.5968998
rajapura,12.7831791,77.6631594
rajarajesheari nagar,,
rajarajeshwari nagar,12.9274413,77.5155224
rajarajeshwari nagara,12.9193976,77.5180364
rajarajeshwarinagar,12.9061275,77.519558
rajasree layout,13.0686085,77.5562896
rajiv gandhi nagar,13.0529919,77.5842533
rajiv nagar,13.0529919,77.5842533
ramagondanahalli,12.9558969,77.7405826
ramakrishnappa layout,12.9778951,77.5164792
ramamohanapuram,,
ramamurthy nagar,13.0120218,77.6777817
ramanagara channapatna,,
ramanashree enclave,,
ramanjaneyanagar,,
ramaswamy palya kammanahalli main road,,
ramchandrapuram,,
ramesh nagar,12.9633466,77.6800333
rammana layout,,
ravindra nagar t dasarahalli peenya,,
rayasandra,12.8795774,77.6719842
rbi layout,12.8873819,77.5840351
rd block banashankari,12.8817606,77.5148163
rd block hbr layout,13.0314059,77.6355596
rd block hrbr layout,13.0191027,77.6433499
rd block jayanagar,12.928559,77.5823467
rd phase iti layout,,
rd stage raja rajeshwari nagar,,
reliaable tranquil layout,,
reliable woods layout,,
remco bhel layout,,
rest house road,12.9737534,77.6064054
richards town,13.0042369,77.6170601
richmond road,12.9657678,77.6038622
richmond town,12.963555,77.6015856
ring road nagarbhavi,12.9503843,77.522121
rk colony,13.0274554,77.5772913
rk layout nd stage,,
rmc yard,13.0243692,77.5482953
rmv,13.0360109,77.5695288
rmv extension,13.0356488,77.574775
rmv extension stage,13.0356488,77.574775
rmv extension stage rmv extension,,
rmv nd stage,,
roopena agrahara,12.91064,77.6238263
rpc layout,12.9609115,77.5358407
rr layout,12.9314733,77.5290964
rr nagar,12.9314733,77.5290964
rto ullalu,,
rukmaiah layout,,
rustam bagh layout,,
rwf west colony,,
s r layout,12.9558857,77.6512156
sabari nagar,12.971655,77.6058944
sadahalli,13.2111088,77.647022
sadanand nagar,,
sadaramangala,12.9989026,77.7375086
sadashiva nagar,13.0110193,77.5808641
sadduguntepalya,,
sadhguru layout,,
sahakara nagar,13.0621474,77.5800614
sahyadri layout,12.9064193,77.5633803
sai gardens,12.9467591,77.6760671
samethanahalli,12.979363,77.7907328
sampangi rama nagar,12.9666076,77.5925094
sampangirama nagar,12.9795587,77.589992
sampige layout,12.9764697,77.528243
sampigehalli,13.0805925,77.6291328
sanjay nagar,12.9578658,77.6958748
sanjeevini nagar,13.0316481,77.6023154
sankeswari,,
sanne amanikere,,
saptagiri layout,12.8451256,77.6457413
sapthagiri layout,13.0368052,77.4960405
sarakki nagar,12.9107357,77.5829631
sarjapur,12.9116225,77.6388622
sarvabhouma nagar,12.9124073,77.5466561
sarvobhogam nagar,,
sathanur,13.0735244,77.6214579
sathya layout,12.989889,77.7186215
sathya sai layout,12.9327018,77.7039591
satyasaibaba layout,,
sbm colony,12.938813,77.5526032
seegehalli,13.0164845,77.71748
seethappa layout,,
seetharampalya,12.980531,77.7088952
seshadripuram,12.9946631,77.5747183
shakthi nagar,13.0178699,77.6165505
shampura,13.0309565,77.6111581
shankarapuram,12.9528538,77.5703309
shanthala nagar,12.9714173,77.5994394
shanthi layout,13.0167674,77.6834304
shanthi pura,,
shanthinagar,12.9578068,77.5994161
shanti nagar,12.9555367,77.5924278
shantiniketan layout,12.8824524,77.6024627
shauhardha layout,,
shettigere,13.1954297,77.649453
shettihalli,13.0587626,77.5263725
shetty halli,13.0502833,77.525675
shikaripalya,12.8359685,77.6571728
shingapura,,
shirdi sai layout,13.0668492,77.6394164
shirdi sai nagar,12.969801,77.6303775
shivaji nagar,12.988325,77.6004488
shivanagar,12.988842,77.5502831
shree ananth nagar layout,,
siddapura,12.9464207,77.5920877
sidedahalli,13.0625424,77.4953754
silk board,12.9170295,77.6223209
silver springs layout,12.9582324,77.7098778
sindhi colony,12.9946318,77.6165816
singanayakanahalli,13.1478621,77.5693207
singapura paradise,,
singapura village,13.0797045,77.5384544
singasandra,12.8787382,77.642089
singena agrahara,12.8400642,77.7126767
sir m v nagar,12.9312736,77.5704231
sk garden,13.0045682,77.6069927
smv layout,12.8819431,77.6728073
sneha colony,,
somanna garden,,
somasundara palya,,
someshwara layout,12.9035976,77.6938015
sompura,12.8778283,77.4972385
sonam layout,,
sonnenahalli,12.9433048,77.4801187
soppahalli,12.7483443,77.6763175
soundarya layout,13.066906,77.4967968
south,12.9287596,77.6287122
sree narayana nagar,12.8837645,77.5507558
sri balaji krupa layout,12.8732692,77.6460654
sri kanteshwara nagar,,
sri sai layout,13.0395959,77.64454
sri venkateshpura layout,,
srigandada kaval,12.9851531,77.5032883
srinagar,12.9484488,77.5514971
srinivas colony,12.9639012,77.6472266
srinivasa nagar,12.9877574,77.5378544
srinivasapura,13.1062092,77.6239014
srirampura,12.9964948,77.5632993
srirampuram,,
st block bel layout,,
st block hbr layout,13.0340406,77.6309958
st block hrbr layout,13.0149014,77.6290147
st block jayanagar,12.9260018,77.5953093
st john s road,12.9865503,77.6157812
st stage domlur,12.959142,77.6377909
st stage indira nagar,12.9752555,77.6388125
st stage radha krishna layout,,
st thomas town,13.0065573,77.6224071
stage bommanahalli,,
subash nagar,12.9284049,77.5179223
subbannaiah palya,,
subhash nagar,12.9899856,77.5719656
subramanya nagar,13.0047903,77.5599387
subramanyanagar,13.003352,77.553763
subramanyapura,12.8992578,77.5321721
suddaguntepalya,12.931045,77.6098888
sugama layout,,
sultan palaya,12.9635302,77.5678933
sulthangunta,,
sundar ram shetty nagar,,
sundara nagar,12.97293,77.6151399
sunder ram shetty nagar,,
sunkadakatte,12.9951556,77.5022163
sunkan palya,,
surabhi layout,13.0930374,77.6002443
suragajakkanahalli,12.7361919,77.6654422
suraksha nagar,12.9749515,77.6063599
suryanagar,12.7731527,77.6864397
syndicate bank colony,12.9798772,77.5286425
t c palya,13.0160375,77.6910921
t c palya main road,13.020674,77.6861834
t dasarahalli,13.0427796,77.5129645
t g extension,13.0013982,77.6019511
t k reddy layout,,
t r mill road,,
tala cauvery layout,,
talaghattapura,,
tasker town,12.9801622,77.605818
tata nagar,12.9358121,77.5150011
tavarekere,12.9207814,77.6108339
tc palaya,13.0106104,77.6932665
tc palya,13.0226152,77.7057327
teachers colony,12.9190507,77.6352458
tejaswini nagar,12.8601269,77.6053051
telecom layout,12.965528,77.5467051
th block banashankari rd stage feet orr,,
th block hbr layout,13.0340406,77.6309958
th block jayanagar,12.9189992,77.5921272
th block rajaji nagar,,
th cross srinivas nagar banshankari rd stage,,
th stage beml layout,,
th t block jayanagar,,
thanisandra,13.0522499,77.6316152
thanisandra main road,13.0851897,77.6349252
tharabanahalli,13.101684,77.4798441
thavarekere,12.9251875,77.6088054
thigalarapalya,13.0170955,77.4829741
thippasandra,12.8744383,77.5579029
thirumalashettyhally,,
thirumenahalli,13.0901794,77.6334125
thirupalya,12.821203,77.6660463
thomas town,13.0065573,77.6224071
thubarahalli,12.9547872,77.7213154
thurahalli,,
thyagaraja nagar,12.931392,77.5683011
thyagraj nagar,,
tigalarpalya,,
tilak nagar,12.9275876,77.5947124
tindlu,13.2338969,77.5947061
tippenahalli,13.0368275,77.4882249
tirumanahalli,,
tr mill road chamarajpet,,
tumkur road,13.0156889,77.5556755
tunganagara,12.985503,77.485068
uday nagar,12.9908579,77.6718143
udaya nagar,12.9963615,77.6724503
udayagiri,,
udayapur village,,
ullal road,12.9505535,77.4870399
ullal uppanagar,,
ulsoor,12.9778793,77.6246697
upadhyaya layout,,
upkar layout,12.9607352,77.4831822
uttarahalli,12.9055682,77.5455438
uvce layout,,
v v puram,12.9500602,77.5768521
vadarpalya,,
vaderahalli,13.0972541,77.5390599
vaishnavi layout,13.0768415,77.5529965
vajarahalli,12.8775221,77.5448072
varanasi,13.0304962,77.6860657
varsova layout,,
varthur,12.9406508,77.746988
varthur road,12.9568649,77.7027696
vasantapura main road,12.8876583,77.5507012
vasanth nagar,12.9921738,77.591459
vasantha vallabha nagar,,
vasanthapura,12.8894951,77.5596744
vasanthpura,,
vasatha vallbha nagar,,
vayunandana layout,,
veer sandra,12.8389813,77.6750305
veerabhadra nagar,12.9682085,77.6823937
veerannapalya,13.0424788,77.613342
veersandra,,
venkatadri layout,12.9479007,77.6994103
venkatapura,12.8839153,77.47028
venkateshpuram,13.013003,77.6189465
venkateswara nagar,13.04055,77.5569571
venugopal reddy layout,,
versova layout,12.9838691,77.6684718
vgp layout,,
vhbcs layout,,
vibhutipura extension,,
vibuthipura,12.9657268,77.6809824
victoria layout,12.9656579,77.6142682
vidhyanagar cross,,
vidya nagar,12.9842424,77.5865075
vidyapeeta,12.9337836,77.5609746
vidyaranyapura,13.0766407,77.5577315
vignana nagar,,
vijay nagar,12.9061299,77.5920538
vijaya bank colony,12.8934265,77.6097166
vijaya bank layout,12.8822364,77.6138592
vijayabank bank layout,,
vijayanagar,12.9709537,77.5373851
vijaypura,,
vijinapura,13.0039028,77.6736303
vikram nagar,12.8994971,77.5613308
vimanapura,12.96218,77.6635462
vinayak nagar,,
vinayaka layout,12.9682111,77.5116639
vinayaka nagar,12.9872184,77.5230958
vinayakanagar,12.9579825,77.6090092
virat nagar,,
virgonagar,13.0331172,77.734857
virudhu nagar,,
virupakshapura,13.0638109,77.5717581
vishveshwarya layout,,
vishwanatha nagenahalli,13.036775,77.6036324
vishwapriya layout,,
vishwapriya nagar,,
viswajit layout,,
viswapriyanagar begur road bommanahalli,,
vittal mallya road,12.9712477,77.5961772
vittal nagar,12.9012176,77.5550809
vittasandra,12.8699063,77.6272386
vivek nagar,12.9529247,77.6231374
viviani road,13.0036422,77.6156972
volagerekallahalli,,
vyalikaval,13.0042636,77.5751704
wajid layout thanisandra,,
weavers colony,12.8454948,77.5831295
west of chord road,12.9982067,77.5499224
wheelers road,12.9995759,77.6230526
white field kadugodi,,
whitefield,12.9963995,77.7614229
williams town,12.9991567,77.6067556
wilson garden,12.9489339,77.5968273
xavier layout,12.9646019,77.6127125
yarandahalli,12.8087698,77.6673579
yediyur,12.9301531,77.5763445
yelachenahalli,12.9006508,77.569226
yelahanka,13.1006982,77.5963454
yelenahalli,12.8646227,77.6081639
yemlur,12.9438959,77.6783535
yeshwanthpur,13.0176937,77.5555009
zuzuvadi,,
